Complain Number,Date,Time,Day,Main Street,Second Street,Quadrant,On Street,Latitude,Longitude,Type,# Injured,# Vehicles,# Bikes
137016,1/1,0150,Sun,FLORIDA AVE,TWENTY SECOND ST,NW,Within 100ft,-77.048798,38.911142,Side Swiped,0,0,2
676016,1/2,1540,Mon,U ST,TWELFTH ST,NW,Within 100ft,-77.028077,38.917001,Non-Collision Accident,0,0,2
1599016,1/4,1615,Wed,LONGFELLOW ST,COLORADO AVE,NW,Within 100ft,-77.03239,38.957273,Left Turn Hit Ped.,0,1,1
2366016,1/6,0800,Fri,FOURTEENTH ST,BUCHANAN ST,NW,Not at Inter,-77.032727,38.946113,Side Swiped,0,1,2
3183016,1/8,0015,Sun,COLUMBIA RD,HARVARD ST,NW,At Intersect,-77.036921,38.926261,Right Angle,0,1,1
4325016,1/10,1737,Tue,I ST,HALF ST,SE,Not at Inter,-77.01062,38.879311,Other,0,1,1
4523016,1/10,2335,Tue,COLUMBIA RD,MOZART PL,NW,Within 100ft,-77.037908,38.925672,Other,0,0,1
4679016,1/10,1050,Tue,EIGHTEENTH ST,SWANN ST,NW,Not at Inter,-77.041659,38.914844,Parked Vehicle,0,1,1
5049046,4/19,1745,Wed,EIGHTEENTH ST,L ST,NW,At Intersect,-77.041668,38.903742,Straight Hit Ped.,0,1,2
5833016,1/13,1410,Fri,M ST,NINETEENTH ST,NW,Not at Inter,-77.043448,38.905664,Side Swiped,0,0,2
5931016,1/13,1720,Fri,FORTY FOURTH PL,HILLSIDE RD,SE,At Intersect,-77.081958,38.840373,Right Angle,0,1,2
6040016,1/13,1955,Fri,PENNSYLVANIA AVE,THIRTEENTH ST,NW,At Intersect,-77.02964,38.895381,Rear End,0,0,2
7490016,1/17,0010,Tue,CONSTITUTION AVE,TWELFTH ST,NW,Within 100ft,-77.028268,38.892091,Other,0,0,1
9528016,1/21,1345,Sat,SECOND ST,MASSACHUSETTS AVE,NW,Not at Inter,-77.081958,38.840373,Side Swiped,0,0,2
12444016,1/27,2200,Fri,TWENTY EIGHTH ST,PENNSYLVANIA AVE,NW,At Intersect,-77.057057,38.904973,Straight Hit Ped.,0,0,1
14980026,2/2,0930,Thu,ROCK CREEK DR,MASSACHUSETTS AVE,NW,At Intersect,-77.05897,38.918263,Straight Hit Ped.,0,1,2
17439006,2/7,1750,Tue,TWELFTH ST,U ST,NW,At Intersect,-77.028077,38.917001,Left Turn Hit Veh.,0,0,1
17473006,2/7,1910,Tue,H ST,SEVENTH ST,NW,Not at Inter,-77.021908,38.899814,Right Angle,0,0,2
21679026,2/17,0930,Fri,COLUMBIA RD,EIGHTEENTH ST,NW,Within 100ft,-77.042647,38.922674,Parked Vehicle,0,1,1
23591026,2/21,1715,Tue,THIRTEENTH ST,NEW YORK AVE,NW,Within 100ft,-77.029627,38.900164,Right Angle,0,0,2
24741026,2/24,0841,Fri,ELEVENTH ST,K ST,NW,Within 100ft,-77.027041,38.902533,Left Turn Hit Ped.,0,1,1
24806026,2/24,1200,Fri,I ST,SEVENTEENTH ST,NW,Within 100ft,-77.039449,38.901342,Side Swiped,0,1,2
25022026,2/24,1830,Fri,GEORGIA AVE,CLEVELAND AVE,NW,Within 100ft,-77.081958,38.840373,Side Swiped,0,1,2
26117026,2/27,0640,Mon,CHEVY CHASE CIR,CONNECTICUT AVE,NW,At Intersect,-77.077219,38.967223,Right Angle,0,1,2
26313026,2/27,1530,Mon,BELMONT ST,FOURTEENTH ST,NW,At Intersect,-77.031868,38.921093,Right Angle,0,1,1
28201036,3/3,1535,Fri,THIRTEENTH ST,NEW YORK AVE,NW,Within 100ft,-77.029627,38.900164,Other,0,1,2
28749036,3/4,1615,Sat,FLORIDA AVE,WEST VIRGINIA AVE,NE,Within 100ft,-76.99311,38.90399,Right Angle,0,0,1
29610036,3/6,1600,Mon,M ST,TWENTY EIGHTH ST,NW,At Intersect,-77.05703,38.905252,Right Angle,0,1,2
30035036,3/7,1600,Tue,BENNING RD,EAST CAPITOL ST,BN,N/A,-76.9376,38.889881,Other,0,1,1
32892036,3/13,1245,Mon,,,NE,Within 100ft,,,AL ST STAPLES ST,0,0,1
34171036,3/16,0720,Thu,IRVING ST,PARK PL,NW,At Intersect,-77.018047,38.929613,Right Angle,0,1,2
36318036,3/20,1815,Mon,FIRST ST,G ST,NE,Not at Inter,-77.01217,38.881051,Other,0,1,2
38009036,3/24,0810,Fri,TWENTY FIRST ST,E ST,NW,Within 100ft,-77.046659,38.896023,Right Angle,0,1,1
39766036,3/28,0809,Tue,WISCONSIN AVE,,NW,At Intersect,,,Other,0,0,2
39852036,3/28,1150,Tue,TWENTIETH ST,M ST,NW,N/A,-77.044901,38.905664,Side Swiped,0,1,2
40199036,3/29,0215,Wed,FAIRLAWN AVE,PENNSYLVANIA AVE,SE,Within 100ft,-76.973289,38.874563,Right Turn Hit Veh.,0,0,2
40743036,3/30,0840,Thu,EUCLID ST,FOURTEENTH ST,NW,Within 100ft,-77.032138,38.923763,Left Turn Hit Veh.,0,1,2
42473046,4/2,1830,Sun,PENNSYLVANIA AVE,TWENTY EIGHTH ST,NW,Within 100ft,-77.057057,38.904973,Other,0,0,2
42886046,4/3,1720,Mon,FIRST ST,D ST,NW,At Intersect,-77.01217,38.894792,Left Turn Hit Ped.,0,1,1
43647046,4/5,0840,Wed,I ST,SIXTH ST,NW,Not at Inter,-77.019907,38.879271,Parked Vehicle,0,2,2
46336046,4/10,1935,Mon,CONNECTICUT AVE,CALVERT ST,NW,Within 100ft,-77.051517,38.923542,Head On,0,1,1
46636046,4/10,1935,Mon,CONNECTICUT AVE,CALVERT ST,NW,Within 100ft,-77.051517,38.923542,Head On,0,1,1
46657046,4/11,1320,Tue,GEORGIA AVE,HARVARD ST,NW,Within 100ft,-77.022958,38.92723,Side Swiped,0,1,2
48390046,4/14,1650,Fri,SEVENTH ST,MORTON PL,NE,Within 100ft,-76.996148,38.904384,Other,0,0,2
48755046,4/15,0935,Sat,BENNING RD,F ST,SE,Within 100ft,-76.93361,38.882264,Straight Hit Ped.,0,1,2
49436046,4/16,2055,Sun,ELEVENTH ST,RHODE ISLAND AVE,NW,At Intersect,-77.027041,38.910513,Right Angle,0,1,1
49727046,4/17,1640,Mon,K ST,NORTH CAPITOL ST,BN,At Intersect,-77.009097,38.902524,Right Angle,0,0,2
49791046,4/17,1825,Mon,MOUNT PLEASANT ST,LAMONT ST,NW,Not at Inter,-77.03832,38.931154,Side Swiped,0,0,2
50288046,4/18,1830,Tue,U ST,FOURTEENTH ST,NW,Within 100ft,-77.031948,38.917001,Rear End,0,1,1
50743046,4/19,1752,Wed,NEBRASKA AVE,WARREN ST,NW,At Intersect,-77.080049,38.94478,Right Angle,0,1,2
50976046,4/20,0805,Thu,FIFTH ST,HAMILTON ST,NW,At Intersect,-77.019707,38.953132,Straight Hit Ped.,0,1,2
51716046,4/21,1535,Fri,E ST,TENTH ST,NE,Within 100ft,-77.025987,38.908574,Side Swiped,0,1,2
53110046,4/24,1200,Mon,K ST,NINETEENTH ST,NW,Within 100ft,-77.043448,38.9024,Other,0,0,3
53872046,4/25,2140,Tue,CONNECTICUT AVE,ALBEMARLE ST,NW,Within 100ft,-77.06567,38.94788,Right Angle,0,1,2
53896046,4/25,2110,Tue,NINTH ST,U ST,NW,At Intersect,-77.023959,38.916992,Left Turn Hit Ped.,0,1,1
53976046,4/26,0150,Wed,EIGHTH ST,G ST,NW,At Intersect,-77.022927,38.898463,Left Turn Hit Veh.,0,1,2
54014046,4/26,0750,Wed,N ST,FIFTEENTH ST,NW,Within 100ft,-77.034569,38.907241,Other,0,1,2
54233046,4/26,1635,Wed,L ST,FOURTEENTH ST,NW,Within 100ft,-77.03197,38.903751,Head On,0,2,2
55101046,4/28,0915,Fri,L ST,FIFTEENTH ST,NW,Within 100ft,-77.034578,38.903742,Left Turn Hit Veh.,0,0,2
55275046,4/28,1650,Fri,THIRTEENTH ST,G ST,NE,Within 100ft,-77.029618,38.898313,Other,0,1,1
55383046,4/28,2055,Fri,BENNING RD,EIGHTEENTH ST,NE,N/A,-76.977549,38.899044,Rear End,0,1,2
55934046,4/29,2130,Sat,TWENTY THIRD PL,BENNING RD,NE,Not at Inter,-76.973067,38.898273,Right Angle,0,0,2
56132046,4/30,0955,Sun,CONNECTICUT AVE,BANCROFT PL,NW,At Intersect,-77.046269,38.914831,Left Turn Hit Veh.,0,1,2
57082056,5/2,1145,Tue,V ST,FORTY EIGHTH ST,NW,Not at Inter,-77.081958,38.840373,Other,0,1,1
57510056,5/3,0715,Wed,SIXTH ST,FLORIDA AVE,NE,At Intersect,-77.020009,38.915464,Other,0,0,1
58249056,5/4,1720,Thu,FOURTEENTH ST,F ST,NW,At Intersect,-77.031961,38.897352,Straight Hit Ped.,0,2,1
58497056,5/5,0728,Fri,PENNSYLVANIA AVE,THIRTEENTH ST,NW,Within 100ft,-77.02964,38.895381,Other,0,0,2
58802056,5/5,2015,Fri,COLUMBIA RD,ADAMS MILL RD,NW,At Intersect,-77.042647,38.922674,Right Angle,0,0,2
59146056,5/6,1250,Sat,SIXTEENTH ST,IRVING ST,NW,N/A,-77.036478,38.928692,Unknown,0,1,1
59245056,5/6,1545,Sat,FOURTH ST,W ST,NW,Within 100ft,-77.081958,38.840373,Left Turn Hit Veh.,0,1,2
60748056,5/9,2022,Tue,MINNESOTA AVE,EAST CAPITOL ST,BN,At Intersect,-76.95329,38.889474,Left Turn Hit Veh.,0,1,2
60790056,5/9,2125,Tue,ELEVENTH ST,U ST,NW,At Intersect,-77.027001,38.917014,Left Turn Hit Veh.,0,1,2
60888046,4/18,0720,Tue,TWENTY EIGHTH ST,PENNSYLVANIA AVE,NW,At Intersect,-77.057057,38.904973,Side Swiped,0,0,2
61264056,5/10,1925,Wed,THIRTEENTH ST,JEFFERSON ST,NW,Not at Inter,-77.029689,38.955152,Straight Hit Ped.,0,0,1
61784056,5/11,1820,Thu,COLUMBIA RD,SHERMAN AVE,NW,At Intersect,-77.026137,38.927833,Side Swiped,0,1,1
63125056,5/14,1200,Sun,CORCORAN ST,MOUNT OLIVET RD,NE,At Intersect,-76.987539,38.911062,Right Angle,0,0,2
63151056,5/14,1245,Sun,MACARTHUR BLVD NEBRASKA AVE,,NW,Within 100ft,,,Straight Hit Ped.,0,1,1
63575056,5/15,1400,Mon,RHODE ISLAND AVE,TWELFTH ST,NW,Within 100ft,-77.028068,38.91015,Rear End,0,1,2
63694056,5/15,1640,Mon,TWENTIETH ST,K ST,NW,Within 100ft,-77.044887,38.9024,Side Swiped,0,0,2
63992056,5/16,1010,Tue,BUCHANAN ST,FOURTEENTH ST,NW,Not at Inter,-77.032727,38.946113,Right Angle,0,1,2
66800056,5/21,1530,Sun,EIGHTEENTH ST,MINNESOTA AVE,SE,At Intersect,-76.978908,38.869391,Right Angle,0,0,1
67052056,5/22,0705,Mon,CONNECTICUT AVE,CALIFORNIA ST,NW,Within 100ft,-77.046707,38.916762,Other,0,1,1
67070056,5/22,0805,Mon,FARRAGUT ST,THIRTEENTH ST,NW,Within 100ft,-77.029698,38.950794,Right Angle,0,1,2
67621056,5/23,0840,Tue,TWENTY FIRST ST,PENNSYLVANIA AVE,NW,At Intersect,-77.046637,38.901333,Rear End,0,1,2
67744056,5/23,1455,Tue,CONNECTICUT AVE,K ST,NW,At Intersect,-77.03944,38.902533,Left Turn Hit Ped.,0,1,1
67818056,5/23,1730,Tue,NEW JERSEY AVE,NEW YORK AVE,NW,At Intersect,-77.01477,38.905372,Right Turn Hit Veh.,0,1,2
68363056,5/23,0655,Tue,S CAPITOL ST,I ST,BN,At Intersect,-77.00911,38.879302,Right Turn Hit Veh.,0,0,1
69361056,5/26,1655,Fri,NINETEENTH ST,K ST,NW,At Intersect,-77.043448,38.9024,Right Angle,0,1,2
69888056,5/27,1800,Sat,EADS ST,FORTY SIXTH ST,NE,Within 100ft,-77.081958,38.840373,Right Angle,0,1,2
71506056,5/31,0815,Wed,FOURTEENTH ST,MASSACHUSETTS AVE,NW,Not at Inter,-77.081958,38.840373,Other,0,1,1
71615056,5/31,1145,Wed,TWENTY SECOND ST,L ST,NW,Not at Inter,-77.04882,38.903751,Other,0,1,2
71839056,5/31,2012,Wed,WISCONSIN AVE,RIVER RD,NW,At Intersect,-77.080089,38.948664,Right Angle,0,1,2
72104066,6/1,1015,Thu,ELEVENTH ST,H ST,NW,At Intersect,-77.081958,38.840373,Right Turn Hit Ped.,0,1,1
72221066,6/1,1546,Thu,SECOND ST,A ST,NE,Within 100ft,-77.003499,38.890931,Left Turn Hit Veh.,0,0,2
73883066,6/4,1740,Sun,FOURTEENTH ST,QUINCY ST,NW,Not at Inter,-77.032727,38.937584,Side Swiped,0,0,2
74315066,6/5,1600,Mon,FOURTH ST,M ST,SE,At Intersect,-77.017591,38.876521,Right Turn Hit Ped.,0,1,1
75070066,6/6,2215,Tue,MICHIGAN AVE,MICHIGAN AVE,NE,At Intersect,-77.020407,38.927563,Rear End,0,1,1
75565066,6/7,2150,Wed,CONNECTICUT AVE,L ST,NW,Within 100ft,-77.040007,38.903742,Left Turn Hit Ped.,0,1,1
75585066,6/7,2240,Wed,BARRY PL,SHERMAN AVE,NW,At Intersect,-77.025261,38.920672,Right Angle,0,1,2
75735066,6/8,1100,Thu,SIXTH ST,K ST,NW,Not at Inter,-77.019907,38.902524,Left Turn Hit Veh.,0,1,1
75952066,6/8,1715,Thu,NORTH CAPITOL ST,BATES ST,BN,Not at Inter,-77.009097,38.910394,Other,0,1,1
77003066,6/10,1926,Sat,T ST,THIRTEENTH ST,NW,Not at Inter,-77.029618,38.91557,Straight Hit Ped.,0,1,1
77049066,6/10,2130,Sat,KENNEDY ST,ILLINOIS AVE,NW,At Intersect,-77.027431,38.956223,Right Turn Hit Ped.,0,1,1
77920066,6/12,1724,Mon,K ST,TWENTY NINTH ST,NW,At Intersect,-77.05815,38.902582,Other,0,1,2
78356066,6/13,1425,Tue,NINTH ST,O ST,NW,Within 100ft,-77.081958,38.840373,Head On,0,2,2
78392066,6/13,1600,Tue,CONNECTICUT AVE,M ST,NW,Not at Inter,-77.041128,38.905664,Right Angle,0,1,1
78469066,6/13,1820,Tue,MARYLAND AVE,BENNING RD,NE,Within 100ft,-76.983359,38.900151,Side Swiped,0,1,2
79195066,6/15,0750,Thu,BENNING RD,MARYLAND AVE,NE,At Intersect,-76.983359,38.900151,Left Turn Hit Ped.,0,0,2
79791066,6/16,0940,Fri,NORTH CAPITOL ST,H ST,BN,At Intersect,-77.009097,38.900213,Right Turn Hit Veh.,0,1,2
80384066,6/17,1115,Sat,BELLEVUE TERR,GARFIELD ST,NW,At Intersect,-77.075838,38.927532,Right Angle,0,1,2
81020066,6/18,1817,Sun,FOURTEENTH ST,THOMAS CIR,NW,Within 100ft,-77.032297,38.905443,Non-Collision Accident,0,1,1
81827066,6/20,1300,Tue,CONNECTICUT AVE,YUMA ST,NW,Within 100ft,-77.064997,38.946733,Parked Vehicle,0,0,2
81921066,6/20,1630,Tue,A ST,FIFTIETH ST,SE,Within 100ft,-76.930041,38.888021,Right Turn Hit Veh.,0,1,2
82366066,6/21,1335,Wed,K ST,NINETEENTH ST,NW,Not at Inter,-77.043448,38.9024,Other,0,1,2
82401066,6/21,1420,Wed,SHERMAN AVE,MONROE ST,NW,Within 100ft,-77.026877,38.93277,Other,0,2,1
82812066,6/22,0905,Thu,LINCOLN RD,R ST,NE,At Intersect,-77.008539,38.91259,Left Turn Hit Ped.,0,1,1
83444066,6/23,1310,Fri,INTERSTATE 395 MAINE AVE,,BN,At Intersect,,,Straight Hit Ped.,0,0,1
83904066,6/24,1017,Sat,SEVENTH ST,D ST,SW,At Intersect,-77.021908,38.894792,Left Turn Hit Ped.,0,1,2
83960066,6/24,1230,Sat,THIRTEENTH ST,LONGFELLOW ST,NW,Not at Inter,-77.029689,38.957273,Other,0,1,1
84141066,6/24,1905,Sat,MONROE ST,HOLMEAD PL,NW,Within 100ft,-77.030867,38.931982,Straight Hit Ped.,0,1,2
85320066,6/27,0830,Tue,TWENTY SEVENTH ST,P ST,NW,At Intersect,-77.055617,38.909371,Straight Hit Ped.,0,1,2
86146066,6/29,0805,Thu,VERMONT AVE,L ST,NW,Not at Inter,-77.033068,38.903751,Left Turn Hit Veh.,0,1,2
86388066,6/29,1700,Thu,IRVING ST,FIFTEENTH ST,NW,Within 100ft,-77.036199,38.928674,Right Turn Hit Veh.,0,1,2
86398066,6/29,1730,Thu,EIGHTEENTH ST,FLORIDA AVE,NW,At Intersect,-77.04165,38.916802,Left Turn Hit Veh.,0,1,2
86843066,6/30,1230,Fri,SIXTH ST,W ST,NW,At Intersect,-77.081958,38.840373,Right Angle,0,1,2
87416076,7/1,1420,Sat,HIATT PL,PARK RD,NW,Within 100ft,-77.081958,38.840373,Side Swiped,0,1,1
87477076,7/1,1720,Sat,MILITARY RD,FOURTEENTH ST,NW,At Intersect,-77.033409,38.962042,Other,0,1,2
88415076,7/3,1555,Mon,GEORGIA AVE,BARRY PL,NW,Within 100ft,-77.022059,38.920964,Other,0,1,2
89026076,7/4,2221,Tue,SIXTEENTH ST,FORT STEVENS DR,NW,At Intersect,-77.036398,38.964823,Non-Collision Accident,0,1,1
90924076,7/8,1145,Sat,CONNECTICUT AVE,L ST,NW,Not at Inter,-77.040007,38.903742,Straight Hit Ped.,0,1,2
90989076,7/8,1528,Sat,THIRTEENTH ST,SHEPHERD ST,NW,At Intersect,-77.029698,38.939732,Right Angle,0,1,2
91377076,7/9,1045,Sun,FLORIDA AVE,FOURTEENTH ST,NW,Within 100ft,-77.031939,38.920061,Right Angle,0,1,2
93030076,7/12,1535,Wed,SEVENTH ST,H ST,NW,N/A,-77.081958,38.840373,Straight Hit Ped.,0,1,1
93052076,7/12,1625,Wed,SEVENTH ST,I ST,NW,Within 100ft,-77.081958,38.840373,Side Swiped,0,1,2
93455076,7/13,1130,Thu,FIFTEENTH ST,M ST,NW,Within 100ft,-77.03456,38.905651,Other,0,0,2
94157006,7/14,1700,Fri,K ST,FOURTEENTH ST,NW,Within 100ft,-77.031961,38.902391,Right Angle,0,1,2
94255076,7/14,1930,Fri,ELEVENTH ST,INDEPENDENCE AVE,SE,At Intersect,-76.991507,38.887601,Straight Hit Ped.,0,1,1
94985006,7/16,0120,Sun,COLUMBIA RD,BILTMORE ST,NW,Within 100ft,-77.04316,38.92231,Parked Vehicle,0,1,3
97319076,7/20,0918,Thu,MASSACHUSETTS AVE,S ST,NW,Not at Inter,-77.05331,38.914091,Head On,0,1,1
